file_path,file_name,format,sources,metadata,status
raw\public,covidcase080120.gpkg,Geopackage,raw\public\chakraborty\Aug1data\Aug1data.shp,,provided
raw\public,covidcase080120.csv,Comma-separated values,raw\public\chakraborty\Aug1data\Aug1data.shp,,provided
raw\public,acs.gpkg,Geopackage,TidyCensus Package call to ACS 2018 5-year,metadata_acs.xml,provided; derived
raw\public,disability_raw.csv,Comma-separated values,ACS 2018 5-year,acs_S1810_vars.csv,provided
raw\public,poverty_raw.csv,Comma-separated values,ACS 2018 5-year,acs_C18130_vars.csv,provided
raw\public\chakraborty,table1.csv,Comma-separated values,Digitized in Excel from Table 1 of the original manuscript,,
raw\public\chakraborty\Aug1data,Aug1data.shp,ESRI Shapefile,Chakraborty 2021 - author provided data from Johns Hopkins COVID dashboard,metadata_covid.xml,provided
raw\public\chakraborty\,Aug1GEEdata.csv,Comma-separated values,Chakraborty 2021 - author provided data - derived input for GEE models,,provided
raw\public\chakraborty\,SatScan_output.dbf,dBASE,Chakraborty 2021 - author provided data - output from SatSCAN,,provided
raw\public\chakraborty\,SatScan_results.txt,Text,Chakraborty 2021 - author provided data - output from SatSCAN,,provided
derived\public\satscan,sat_scan_rpr.gis.shp,ESRI Shapefile,SaTScan spatial scan for COVID-19 clusters - counties in clusters,sat_scan_rpr.txt,provided
derived\public\satscan,sat_scan_rpr.col.shp,ESRI Shapefile,SaTScan spatial scan for COVID-19 clusters - cluster centers and radii,sat_scan_rpr.txt,provided
derived\public\satscan,sat_scan_rpr.txt,text,SaTScan spatial scan for COVID-19 clusters - output report,sat_scan_rpr.txt,provided
derived\public\satscan,case,space-delimited text,SaTScan Input: COVID-19 Incidence : county IDs and cases,sat_scan_rpr.txt,provided
derived\public\satscan,Coordinates.geo,space-delimited text,SaTScan Input: COVID-19 Incidence : county centroids,sat_scan_rpr.txt,provided
derived\public\satscan,Population.geo,space-delimited text,SaTScan Input: COVID-19 Incidence : county populations,sat_scan_rpr.txt,provided
